processo,setor,ordem,data,resumo,desc_folha
003686/2022,DAE_SEI,59,02/12/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,60,13/12/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,61,15/12/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,62,15/12/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,63,15/12/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,64,20/12/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,65,15/06/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,66,20/06/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,67,21/06/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,68,21/06/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,69,21/06/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,70,21/07/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,71,21/07/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,72,25/07/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,73,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,74,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,75,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,76,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,77,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,78,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,79,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,80,26/08/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,81,01/09/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,82,05/09/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,83,09/09/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,84,19/10/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,85,21/10/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,86,21/10/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,87,21/10/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,88,21/10/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,89,21/10/2022,Evento do Processo Original,False
003686/2022,DAE_SEI,90,24/10/2022,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
003687/2022,DAE_SEI,2,16/12/2015,Evento do Processo Original,False
003687/2022,DAE_SEI,3,25/01/2016,Evento do Processo Original,False
003687/2022,DAE_SEI,4,23/08/2017,Evento do Processo Original,False
003687/2022,DAE_SEI,5,24/09/2019,Evento do Processo Original,False
003687/2022,DAE_SEI,6,27/09/2019,Evento do Processo Original,False
003687/2022,DAE_SEI,7,22/06/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,8,10/08/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,9,12/08/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,10,15/08/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,11,15/08/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,12,15/08/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,13,14/10/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,14,06/11/2020,Evento do Processo Original,False
003687/2022,DAE_SEI,15,05/02/2021,Evento do Processo Original,False
003687/2022,DAE_SEI,16,05/02/2021,Evento do Processo Original,False
003687/2022,DAE_SEI,17,05/02/2021,Evento do Processo Original,False
